Producto;Fecha;Ingreso;Egreso;Precio Venta;Monto Venta;Stock
Bateria Redmi Note 6 / 7 / Note 8 2019 / Note 8 2021 / Note 8T  - Silver Edition;2025-10-30;0,00;1,00;10.147,20;10.147,20;24
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;;;;;;58
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-07-02;0,00;2,00;8.857,60;17.715,20;56
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-07-03;0,00;2,00;9.075,20;18.150,40;54
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-07-15;0,00;5,00;9.583,20;47.916,00;49
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-07-17;0,00;3,00;9.511,20;28.533,60;46
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-07-18;0,00;2,00;9.511,20;19.022,40;44
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-07-31;0,00;1,00;9.583,20;9.583,20;43
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-08-18;0,00;2,00;9.801,60;19.603,20;41
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-08-19;0,00;3,00;9.311,52;27.934,56;38
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-08-20;0,00;3,00;9.189,00;27.567,00;35
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-09-19;0,00;2,00;10.672,80;21.345,60;33
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-10-01;0,00;2,00;10.164,00;20.328,00;31
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-10-20;0,00;3,00;10.207,56;30.622,68;28
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-10-28;0,00;2,00;11.108,00;22.216,00;26
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-10-29;0,00;2,00;13.295,00;26.590,00;24
Bateria Redmi Note 9 / 9T / Poco M3  - Silver Edition;2025-10-30;0,00;1,00;10.636,00;10.636,00;23
Bateria Redmi Note 9 Pro / Note 10 Pro  - Silver Edition;;;;;;67
Bateria Redmi Note 9 Pro / Note 10 Pro  - Silver Edition;2025-07-02;0,00;2,00;7.369,60;14.739,20;65
Bateria Redmi Note 9 Pro / Note 10 Pro  - Silver Edition;2025-07-18;0,00;2,00;7.913,60;15.827,20;63
Bateria Redmi Note 9 Pro / Note 10 Pro  - Silver Edition;2025-08-13;0,00;3,00;7.747,44;23.242,32;60
Bateria Redmi Note 9 Pro / Note 10 Pro  - Silver Edition;2025-08-19;0,00;3,00;7.747,44;23.242,32;57
Bateria Redmi Note 9 Pro / Note 10 Pro  - Silver Edition;2025-09-09;0,00;1,00;8.698,40;8.698,40;56
Bateria Redmi Note 9 Pro / Note 10 Pro  - Silver Edition;2025-09-10;0,00;1,00;8.517,60;8.517,60;55
Bateria Redmi Note 9 Pro / Note 10 Pro  - Silver Edition;2025-09-24;0,00;1,00;10.722,00;10.722,00;54
Bateria Redmi Note 9 Pro / Note 10 Pro  - Silver Edition;2025-10-30;0,00;1,00;8.849,60;8.849,60;53
Modulo Moto Edge 30 Fusion C/Marco XT2243 - Black Edition;;;;;;10
Modulo Moto Edge 30 Fusion C/Marco XT2243 - Black Edition;2025-07-01;0,00;3,00;97.473,15;292.419,46;7
Modulo Moto Edge 30 Fusion C/Marco XT2243 - Black Edition;2025-07-02;0,00;1,00;97.473,15;97.473,15;6
Modulo Moto Edge 30 Fusion C/Marco XT2243 - Black Edition;2025-08-06;0,00;1,00;137.576,00;137.576,00;5
Modulo Moto Edge 30 Fusion C/Marco XT2243 - Black Edition;2025-08-13;5,00;0,00;0,00;0,00;10
Modulo Moto Edge 30 Fusion C/Marco XT2243 - Black Edition;2025-08-15;0,00;1,00;112.332,80;112.332,80;9
Modulo Moto Edge 30 Fusion C/Marco XT2243 - Black Edition;2025-08-21;0,00;1,00;112.332,80;112.332,80;8
Modulo Moto Edge 30 Fusion C/Marco XT2243 - Black Edition;2025-09-03;0,00;2,00;113.164,80;226.329,60;6
Modulo Moto Edge 30 Fusion C/Marco XT2243 - Black Edition;2025-09-18;0,00;1,00;113.830,52;113.830,52;5
Modulo Moto Edge 30 Fusion C/Marco XT2243 - Black Edition;2025-10-09;0,00;1,00;123.149,60;123.149,60;4
Modulo Moto Edge 30 Fusion C/Marco XT2243 - Black Edition;2025-10-14;0,00;1,00;153.937,00;153.937,00;3
Modulo Moto Edge 30 Fusion C/Marco XT2243 - Black Edition;2025-10-31;0,00;1,00;110.152,80;110.152,80;2
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;;;;;;41
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-07-02;0,00;5,00;19.734,85;98.674,24;36
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-07-07;0,00;5,00;20.220,14;101.100,72;31
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-07-15;0,00;2,00;20.698,60;41.397,20;29
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-07-17;0,00;8,00;22.118,40;176.947,20;21
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-07-18;0,00;2,00;21.623,20;43.246,40;19
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-07-24;0,00;5,00;21.623,20;108.116,00;14
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-07-29;0,00;3,00;21.788,00;65.364,00;11
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-07-31;0,00;4,00;21.788,00;87.152,00;7
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-08-05;-1,00;-1,00;-20.745,66;20.745,66;7
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-08-05;0,00;1,00;25.068,60;25.068,60;6
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-08-07;0,00;2,00;27.854,00;55.708,00;4
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-08-08;0,00;1,00;21.169,04;21.169,04;3
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-08-11;0,00;3,00;22.283,20;66.849,60;0
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-09-16;55,00;0,00;0,00;0,00;55
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-09-18;0,00;25,00;20.604,80;515.120,00;30
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-09-19;0,00;2,00;20.604,80;41.209,60;28
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-09-19;0,00;5,00;19.574,56;97.872,80;23
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-09-22;0,00;15,00;20.604,80;309.072,00;8
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-09-22;0,00;8,00;21.376,00;171.008,00;0
Modulo ZTE Focus Pro / Neo 2 5G - Gold Edition;2025-09-22;-1,00;-1,00;-21.376,00;21.376,00;0
Modulo Samsung A16 - Silver Edition;;;;;;16
Modulo Samsung A16 - Silver Edition;2025-07-02;0,00;1,00;23.445,00;23.445,00;15
Modulo Samsung A16 - Silver Edition;2025-07-02;0,00;2,00;18.987,20;37.974,40;13
Modulo Samsung A16 - Silver Edition;2025-07-11;0,00;10,00;19.832,00;198.320,00;3
Modulo Samsung A16 - Silver Edition;2025-07-14;0,00;2,00;19.832,00;39.664,00;1
Modulo Samsung A16 - Silver Edition;2025-07-14;0,00;1,00;24.790,00;24.790,00;0
Modulo Samsung A16 - Silver Edition;2025-08-13;40,00;0,00;0,00;0,00;40
Modulo Samsung A16 - Silver Edition;2025-08-15;0,00;2,00;16.975,20;33.950,40;38
Modulo Samsung A16 - Silver Edition;2025-08-18;0,00;2,00;16.975,20;33.950,40;36
